# 问题|选项1|选项2|选项3|选项4|正确选项序号（ABCD）|解析。构建时固定打乱选项。
## 01 明确任务与建立基线
> 我们做一个小项目：输入一张 28×28 的灰度手写数字图片，判断它属于 0–9 中哪一类。先明确输入、目标与评价方式，再开始写训练循环。
把单张 [1,28,28] 图送入当前模型前，哪些判断正确？|通常先增加 batch 维得到 [1,1,28,28]|输出通常应是 [1,10]|把类别维设成 1 因为只有一张图|必须复制成 32 张完全一样的图|AB|单张推理仍保留 batch 维，类别数保持 10，不需要复制成训练 batch 大小。
## 04 定义模型与前向计算
> 模型为 Flatten → Linear(784,128) → ReLU → Linear(128,10)。可以把它看作先把图片变为特征，再输出十个类别分数。模型参数由训练更新。
Linear(784,128) 表示什么？|把每个样本的 784 维输入映射为 128 维输出|输入必须有 784 张图|必须训练 128 轮|输出 784 个类别|A|Linear 的两个数字描述输入和输出特征维度，batch 维另行保留。
ReLU 的主要作用是什么？|引入非线性|自动计算真实标签|保存模型到磁盘|把输出转换为十个概率|A|没有非线性时，连续线性映射可合并成一个线性映射，表达能力受限。
最后的 Linear(128,10) 输出为什么叫 logits？|它们是未经 softmax 归一化的类别分数|因为每项都在 [0,1] 且总和为 1|因为它们就是整数类别标签|因为它们是参数梯度|A|logits 可以为负或大于 1，本身不是概率分布。
执行 logits = model(images) 完成了什么？|前向计算预测分数|自动完成 optimizer.step|自动保存最佳模型|把训练集改为验证集|A|调用模型进行前向传播；参数更新还需损失、反向传播和优化步骤。
模型参数与学习率有什么区别？|权重偏置由优化器更新，学习率控制更新规则的尺度|学习率就是最后一层偏置|模型参数不能改变|两者都必须从测试集标签直接读取|A|学习率属于训练超参数；可训练参数是网络内部的权重、偏置等。
Linear(784,128) 含 bias 时参数数目是多少？|100480|100352|912|784128|A|权重 128×784=100352，加上 128 个偏置，共 100480。
完整 MLP 的参数数目是多少？|101770|100480|1290|7840|A|第一层 100480，第二层 10×128+10=1290；Flatten 和 ReLU 没有可训练参数，总计 101770。
如果输入经过 Flatten 只有 196 维却仍接 Linear(784,128)，最可能发生什么？|矩阵维度不匹配，需要核对图片尺寸和模型输入维度|优化器自动补出缺少的像素|标签自动改成 196 类|只需要把 epoch 改为 784|A|线性层要求输入特征维与 in_features 一致；应检查预处理是否把图片缩小为 14×14。
哪些对象通常包含可训练参数？|Linear 的 weight|Linear 的 bias（启用时）|本例的 Flatten|本例的 ReLU|AB|本例的两个线性层学习权重与偏置，Flatten 和 ReLU 只执行固定操作。
在这个模型中，哪些形状变化正确？|[B,1,28,28] 经 Flatten 变成 [B,784]|[B,128] 经最后线性层变成 [B,10]|ReLU 必须把 [B,128] 变成 [B,10]|Flatten 必须移除 batch 维|AB|ReLU 不改变特征形状；Flatten 默认从第 1 维起展平，保留第 0 维 batch。
## 05 损失函数与预测指标
> 本例使用 CrossEntropyLoss(logits, labels)。训练要优化可微的损失；accuracy 则帮助人理解分类表现。损失与准确率不是同一个量。
CrossEntropyLoss 在本例应直接接收什么？|未归一化 logits 和 long 类别索引|argmax 后的类别编号代替 logits|模型文件名和图片路径|训练准确率和 epoch 编号|A|交叉熵需要各类别分数以及目标标签，argmax 会丢失分数信息，不是这里的损失输入。
为什么本例不在 CrossEntropyLoss 前再加一次 softmax？|该损失内部包含相应的 log-softmax 计算|因为分类永远不能使用概率|因为 softmax 没有数学定义|因为 CPU 不支持 softmax|A|将概率当作 logits 再传入会改变目标计算且通常不合适；需要概率展示时可在推理阶段使用 softmax。
默认 reduction='mean' 返回什么形状的 loss？|标量张量|每类一个整数|整个原始图片张量|必须是 [32,10]|A|默认将本批损失取平均，得到可直接 backward 的标量。
为什么训练代码一般对 loss.backward()，而不是 loss.item().backward()？|item() 得到 Python 数值，不再是可反传的张量|因为 item() 会主动更新参数|因为 backward 只能用于字符串|两种写法总是等价|A|item 用于日志，把张量转为数值会离开这条自动微分对象链路。
若十类预测概率均为 0.1，单个样本交叉熵约为多少？|2.303|0.1|10|0|A|负对数似然为 -ln(0.1)=ln(10)，约 2.302585；这是假设均匀概率的理论计算，不是每次随机初始化的实测值。
对真实类别分配更高概率，单样本交叉熵通常怎样变化？|降低|必然增大|永远等于 1|只取决于 batch 编号|A|在同一标签下，-log(p_true) 随 p_true 增大而减小。
模型预测对了，但真实类别概率从 0.51 提高到 0.9，可能出现什么？|accuracy 不变但交叉熵下降|accuracy 必须翻倍|交叉熵必须保持不变|标签会自动更改|A|argmax 都正确时 accuracy 不变，损失仍反映真实类别分数的改善。
标签里出现 10，而当前模型只输出 10 类，应该怎样处理？|核对标签编码，合法类别索引应为 0–9|把所有标签减去随机数|忽略异常并继续记录满分|把 loss 改名就能修好|A|标签必须符合类别索引范围。类别数是 10 不代表索引可以取 10。
哪些写法适合统计本批指标？|用 logits.argmax(dim=1) 与 labels 比较|用 loss.item() 记录数值|先把 loss 转成字符串再反向传播|把正确样本数当作交叉熵传给 optimizer|AB|指标统计与梯度计算分开；argmax 用于准确率，保留原始 loss 张量用于反传。
哪些现象并不矛盾？|loss 下降而 accuracy 暂时不变|accuracy 相同而错误样本上的置信度不同|accuracy 为 1 就必然意味着 loss 精确为 0|loss 大于 1 就必然表示代码错误|AB|损失反映分数分布，accuracy 只看离散预测结果；损失尺度需结合任务与状态理解。
## 06 梯度与一次参数更新
> 一次常见更新顺序：清理旧梯度 → 前向计算 → 计算 loss → backward → optimizer.step。本例每个 batch 更新一次，不使用梯度累积。
执行 loss.backward() 后，参数通常是否已经被优化器更新？|没有，它主要计算并累积梯度|已经完成了 Adam 的所有更新|已经自动保存了 checkpoint|参数会全部变成 loss 数值|A|backward 生成梯度，optimizer.step 才按优化规则改变参数；配套脚本会记录两步的差别。
loss.backward() 之后，下一步通常应该是什么？|optimizer.step()|把训练集删除|再初始化一次全部模型权重|model = None|A|在当前 batch 梯度就绪后，用优化器执行参数更新。
为何每个普通训练 batch 开始时调用 zero_grad？|防止前一批梯度无意累积到本批|把所有权重清为 0|把数据集变成空集|把损失强制设为 0|A|参数梯度默认累加。清梯度不等于清空参数；有意梯度累积需要另一套明确安排。
zero_grad(set_to_none=True) 主要影响什么？|参数的梯度存储状态|模型层数|图片分辨率|真实标签类别|A|它将相应梯度设为 None，后续反传重新产生梯度；不删除可训练权重。
optimizer = Adam(model.parameters(), lr=0.001) 中 parameters() 提供什么？|优化器需要管理的模型参数|所有训练图片|所有验证标签|每轮准确率列表|A|优化器跟踪传入参数并根据其梯度更新，还可能维护动量等内部状态。
若在每个 batch 中重新创建模型，最可能的问题是什么？|前面学到的权重被反复重置|训练数据会自动增加|模型永远收敛更快|验证集自动独立|A|模型通常在循环外创建。每批重建会破坏跨批学习，也容易使优化器引用错误参数。
若不小心把前向训练放入 no_grad 环境，通常会怎样？|所需计算图未被记录，反传可能失败|自动得到更准确的梯度|优化器自动补出完整图|只会影响日志格式|A|训练需要相应的 autograd 记录；no_grad 通常用于不需要反传的验证和推理。
最简 SGD 的更新方向通常是什么？|参数减去学习率乘梯度|参数加上原图像文件大小|参数总是沿正梯度方向增大|把梯度复制成新标签|A|梯度指向局部上升方向，梯度下降取相反方向。Adam 有额外自适应状态，不能简化为完全同一更新式。
为什么不能把 zero_grad 放在 backward 与 step 之间？|它会清掉本次更新需要的梯度|step 可能因此无法进行预期更新|它会自动计算下一批梯度|这样一定能让 loss 归零|AB|这相当于在使用梯度前先丢弃它；某些参数梯度为 None 时会被优化器跳过。
哪些情况需要检查参数是否真正学到了东西？|连续多步权重完全没变化|loss.backward 后所有预期梯度都缺失|仅仅因为模型文件扩展名是 .pt|仅仅因为使用了 CPU|AB|检查梯度、优化器引用、学习率和参数变化有助于排错。文件扩展名和 CPU 本身不证明训练失败。
## 07 完整训练循环与日志
> 每轮 epoch 遍历一次训练集。本例记录按样本加权的平均 loss 和准确率，再记录验证结果。日志里的训练指标是在参数不断变化的过程中累计的。
本例每轮 313 个 batch，训练 3 轮且每批更新一次，更新次数是多少？|939|316|10000|3|A|313×3=939；epoch 是数据遍历轮数，step 是这里的参数更新次数。
为什么不能简单把每批平均 loss 相加后除以固定 32？|32 是 batch size，不是批数或总样本数|因为 loss 不允许求平均|因为训练只需要最后一批|因为必须除以类别数 10|A|按样本平均应累加 loss×该批样本数，再除以总样本数；最后一批可能不足 32。
两个 batch 分别 32 张 loss=1、16 张 loss=2，样本加权平均 loss 是多少？|约 1.333|1.5|3|0.0625|A|(32×1+16×2)/48=4/3。简单平均两批得到 1.5，会给小批次过大权重。
学习率过大时可能看到什么？|loss 剧烈振荡或发散|loss 必然更快稳定降到 0|样本数自动变多|交叉熵变成准确率|A|过大更新可能跨过合适区域。现象还可能有其他原因，应结合数据、梯度和配置检查。
学习率很小时可能看到什么？|参数变化很小、学习缓慢|标签自动变正确|模型类别数减少|验证集变训练集|A|很小学习率可能进展慢，但不能只凭一条平坦曲线断定原因就是学习率。
训练 loss 每个 batch 都必须单调下降吗？|不必须，随机批次难度和参数更新会造成波动|必须，否则代码必错|必须，因为 DataLoader 总按难度排序|不必须，所以可以完全不看趋势|A|观察多批或多轮趋势更有意义，也要排查持续异常；局部波动不等于整体无效。
epoch 指标中的训练准确率是否一定等于用轮末模型再遍历训练集得到的准确率？|不一定，训练累计时参数在变化|一定，两种评价过程完全相同|一定，因为都叫 train accuracy|不一定，因为准确率不能计算两次|A|轮内累计使用不同时间的参数。若需可比的固定模型指标，应在轮末单独 eval。
为了避免计算图无意保留，训练 loss 日志通常保存什么？|loss.item() 等普通数值|每批 loss 张量及其完整计算图永久保存|全部中间激活永不释放|每个 batch 的所有梯度引用永久保存|A|保存带计算图张量可能让内存增长；需日志时通常保存脱离图的数值。
实验记录至少应保留哪些信息？|数据划分、模型结构、学习率与 batch size|种子、软件版本及每轮训练验证结果|只保留最漂亮的一次截图|只保留模型文件名|AB|这些记录帮助解释与复现实验。随机种子也不能保证跨所有硬件软件完全一致。
本例少量数据跑通后，哪些下一步有价值？|一次只改一个主要因素并记录验证结果|尝试更充分数据或更合适模型并与基线比较|直接把较高训练准确率当成生产验收|删除失败运行让结果看起来稳定|AB|有控制的比较比同时修改多处更容易归因；失败记录也有诊断价值。
## 08 验证、模式切换与排错
> 验证使用 model.eval() 和 no_grad()，但仍然可以计算 loss。下面带具体数值的异常曲线是模拟案例，用于定位思路，不是本示例实测日志。
model.eval() 与 no_grad() 是否作用相同？|不同，前者切换某些层行为，后者关闭梯度记录|完全相同，可以互相永久替代|都用于把权重清零|都用于保存模型|A|Dropout、BatchNorm 等受 train/eval 影响；autograd 是否记录由梯度模式控制。
本例只有 Linear、ReLU、Flatten，调用 eval 仍是否值得保留？|值得，建立正确验证流程，便于以后扩展模型|不值得，因为 eval 会删除模型|不值得，因为 eval 会自动训练|必须删除，否则无法预测|A|这些层在 train/eval 下通常行为相同，但使用统一正确流程有助于添加 Dropout 或 BatchNorm 后不出错。
每次验证后开始下一轮训练，首先应确认什么？|重新调用 model.train()|把验证标签合并到训练标签|把 optimizer 换成字符串|把学习率自动设为 1|A|evaluate 中切成 eval 模式，下一轮应恢复 train 模式。当前 MLP 不敏感也不能养成漏掉的习惯。
模拟：训练 loss 持续下降，验证 loss 连续几轮上升，优先考虑什么？|过拟合等泛化问题，并核对验证流程|一定是训练没执行|继续盲目训练到验证 loss 更高|测试集必然损坏|A|这种分离趋势提示过拟合，但也需核对预处理、数据划分与分布变化，不可仅凭曲线断定唯一原因。
模拟：loss 首批就是 NaN，合理排查顺序是什么？|检查输入/标签合法性、非有限数、运算与学习率|先把日志里的 NaN 替换为 0|只隐藏异常|直接报告训练成功|A|NaN 是数值异常，不等于低损失。要找到产生非有限值的源头。
模拟：模型几乎不能拟合十张固定图片，哪项排查有用？|检查标签、梯度、参数更新，并尝试小样本过拟合测试|立即断言数据量太大|先写部署宣传文案|把验证准确率手动改高|A|小样本能否被拟合是常用流程诊断，不是泛化评价；也受模型容量和任务难度影响。
验证循环是否应该调用 optimizer.step()？|不应该，本例验证只做测量|应该，每个验证 batch 都必须更新|只有答错时才用验证标签更新|验证集越小越需要更新|A|验证若更新参数，会改变评估对象并破坏用途。它可以计算 loss，但不用于本次训练更新。
验证 accuracy 为 90%，能否直接认定所有数字识别都同样好？|不能，可能有某些类别表现很差|能，总体指标代表每类一样|能，只要是十分类|不能，因为 accuracy 永远无意义|A|总体指标会掩盖分组差异，可查看逐类指标、混淆矩阵和失败样本。
哪些办法有助于排查训练不下降？|检查 loss 与标签的输入契约|检查梯度是否存在、参数是否变化|同时盲改十个配置且不记录|跳过错误继续填正常日志|AB|先验证基本链路，再有控制地调整超参数，才能解释改动是否有效。
选择 early stopping 策略时应注意什么？|监控验证指标而不是反复试测试集|预先说明改善阈值、耐心轮数等规则|因为某一批训练 loss 上升就必然停止|停止后自动保证达到全局最优|AB|早停是控制训练与选模策略，不保证最优；规则应与评价目标和噪声程度匹配。
## 09 保存、checkpoint 与恢复
> 示例按验证 loss 保存最佳权重，同时保存最后一轮 checkpoint。权重用于恢复模型数值；续训还涉及优化器、轮次和随机状态。只加载自己生成或可信来源的文件。
model.state_dict() 通常包含什么？|参数和持久缓冲区的名称到张量的映射|完整 Python 源码和所有训练图片|未来测试集答案|自动生成的模型部署网站|A|state_dict 保存模型状态，但通常不包含架构代码；恢复时还需构建兼容模型。
只保存权重是否足以精确延续 Adam 的训练状态？|通常不足，还需优化器状态等|足够，Adam 没有任何内部状态|足够，因为文件名有 checkpoint|不足，所以权重完全没有用|A|Adam 维护动量类状态；续训还需轮次、配置和随机状态，单纯权重适合推理或非精确重新起训。
按什么选择本例的 best_weights.pt？|验证 loss 最低的轮次|测试 accuracy 最高的任意尝试|文件最大的一轮|最后一次保存时间|A|示例按验证集选模，最后才对选中模型做测试；最佳和最后不一定同一轮。
为什么保存内存中的最佳 state_dict 时要 clone 张量？|避免它继续引用随训练变化的参数存储|为了改变标签|为了让模型自动变大|为了加倍训练轮数|A|简单持有返回的状态映射可能仍引用当前张量，需要深拷贝或立即序列化才能冻结那一刻的值。
map_location='cpu' 主要解决什么问题？|将加载的张量映射到 CPU，方便没有原设备时读取|把所有类别改成 CPU 类|自动修复任意架构不匹配|自动验证所有文件绝对安全|A|它处理设备映射，不负责补全结构、修复损坏或保证来源可信。
恢复 state_dict 时提示 size mismatch，应先检查什么？|当前模型层形状是否与保存时一致|图片文件夹名称是否够长|epoch 是否为偶数|键盘输入法|A|权重形状与模型定义必须兼容；例如隐藏层从 128 改成 256 会导致不匹配。
torch.load(..., weights_only=True) 的合理理解是什么？|限制可加载对象类型，但仍应只加载可信文件|保证所有不可信文件绝对无风险|自动把模型转成 ONNX|表示只取模型最后一层|A|限制反序列化能力有助于安全，但不应把它当成对任意来源的全面安全保证。
本例恢复 checkpoint 时为什么检查 lr、batch size 与 seed？|防止误把不同实验配置当作同一连续运行|因为这些数字都必须等于 42|因为配置与训练过程无关|只为了让文件名更长|A|这份示例选择严格检查续训配置，便于复核。其他框架可允许有意修改，但应记录并明确含义。
若希望尽量复现中断后的训练轨迹，应保存哪些状态？|模型与优化器状态、已完成轮次|随机数及数据加载顺序相关状态|仅保存最终预测类别|仅保存 README 标题|AB|数据顺序和随机状态会影响更新轨迹。即便如此，跨平台与非确定性算子仍可能造成差异。
保存后哪些检查有实际价值？|新建同结构模型加载后比较相同输入的 logits|检查文件存在并确认使用的是目标 checkpoint|只看后缀 .pt 就断定模型正确|只看文件大小就认定准确率达标|AB|加载与输出一致性验证比仅检查文件存在更强，但也不等同于业务效果合格。
## 10 加载预测与第一次独立实验
> 最后加载最佳权重，对未参与选模的测试集评价，再试一张图片。若换成自己画的数字，还要检查尺寸、像素方向和预处理，而不是仅把文件名换掉。
推理输入为什么要沿用训练时的预处理？|模型学到的是特定输入尺度和表示下的映射|因为验证集决定文件扩展名|因为不同输入尺度永远完全等价|只为了让代码行数一致|A|尺寸、通道、像素尺度与黑白方向变化可能造成分布偏移，影响预测。
自己的数字图片白底黑字，而训练数据方向不同，应先检查什么？|可视化预处理后的图像，确认是否需要统一前景背景方向|只修改输出类别名|把置信度打印成百分数即可|直接认定模型权重损坏|A|输入约定需统一，不能盲目假定所有来源图片都与 MNIST 一样。
单张图输出 [1,10]，如何得到一个类别编号？|logits.argmax(dim=1).item()|直接用 logits.item()|把全部十个分数相加当类别|沿 batch 维 argmax 后取十个零|A|先沿类别维得到 [1] 的索引，再转成单个 Python 数值。
如果需要展示十类概率，应怎样做？|对 logits 的类别维执行 softmax|对标签执行 softmax|把 logits 全部乘以 100 就称概率|对 batch 维求和后当十类概率|A|softmax(dim=1) 将每张图的类别分数转换成和为 1 的概率形式，但置信度不一定经过良好校准。
预测概率最高为 0.99，是否保证正确？|不保证，应看实际评测与输入分布|保证，概率高于 0.9 永不出错|保证，softmax 会查外部真相|不保证，因此概率毫无用途|A|概率形式不是正确性保证，模型可能过度自信，尤其在分布外输入上。
测试准确率比训练准确率低，是否一定是保存加载错误？|不一定，也可能是正常泛化差距或数据差异|一定，任何差距都来自保存失败|一定，测试集不能有错误|不一定，所以永远不用检查加载|A|可以先比较保存前后相同输入输出，再区分加载问题与泛化问题；单凭准确率差不能定因。
要亲自做第一次可解释的对比实验，推荐怎么改？|保持数据和种子不变，仅改变学习率并比较验证曲线|同时改模型、标签、数据、指标且不记录|只保留表现好的一次结果|先看测试结果再决定要不要报告|A|控制主要变量有助于理解学习率的影响。选择仍用验证集，不把测试集当反复调参工具。
这份脚本在 CPU 跑通是否就意味着已经训练了大语言模型？|不是，这是小型图像分类模型训练，掌握的是基础链路|是，所有神经网络都叫 LLM|是，只要使用 PyTorch|不是，所以与理解大模型训练毫无联系|A|前向、损失、反传、优化、验证与 checkpoint 是共通基础；LLM 还涉及文本数据、目标、规模与额外训练策略。
完成一次运行后，哪些材料能证明你实际做过这个实验？|实际配置、数据划分和运行日志|保存的模型及加载验证结果|只转述题库解析|把别人的运行截图当作自己的|AB|证据应来自自己的执行过程。题库理解和实际运行是互补的两个环节。
从这个小实验继续进阶，哪些方向合理？|在同一任务中尝试 CNN 并做公平比较|再学习文本 token、语言模型目标与 SFT 数据组织|直接假定已掌握分布式训练排错|删除验证测试环节以便更快“进阶”|AB|逐步增加一个新机制并保留评测，能把基本训练流程迁移到更复杂任务。
