# 每行：术语|定义|辨认情境|正确理解|常见误解（错误陈述）|简单例子
## 数学基础
标量|用单个数值表示的量|一条记录只用一个数表示当天温度|标量本身没有向量那样的多个分量|标量必须是整数，不能有小数|温度 23.5 可以作为一个标量。
优化器|根据梯度等信息按规则调整参数的算法|取得参数梯度后，用 SGD 或 Adam 修改参数|不同优化器可以采用不同的更新规则|优化器的主要工作是给原始数据打标签|SGD 可按学习率沿负梯度方向更新参数。
学习率|控制优化更新步幅的重要超参数|观察到更新大幅震荡，尝试减小每次调整的步幅|学习率太大可能不稳定，太小可能训练缓慢|学习率越大就一定收敛越快且效果越好|相同梯度下，学习率减半通常会减小基础 SGD 的更新量。
Batch|一次前向计算等操作共同处理的一组样本|把 1000 个样本分成每组 100 个送入模型|一个 Batch 通常只是整个训练集的一部分|一个 Batch 一定包含整个训练集|1000 个样本按 100 分组，可形成 10 个 Batch。
Epoch|完整遍历一次训练集所对应的训练轮次|训练集的各批次按设定方式被处理完一轮|一个 Epoch 通常包含多个批次或更新步骤|一个 Epoch 永远等于一次参数更新|1000 个样本、批大小 100，常见设置下一轮含 10 批。
激活函数|应用于神经元或层输出的变换，常用于引入非线性|在线性层后加入 ReLU，使网络能够表达非线性关系|连续堆叠纯线性层仍等价于一种线性变换|只要线性层足够多，不用激活也自动得到任意非线性|ReLU 将负值变为 0，正值保持原值。
梯度清零|清除或重置先前累积梯度的操作|不想让前一批的梯度混入下一次独立更新，先重置梯度|需要梯度累积时可以有意暂不清零|清空梯度等于把模型全部权重设为零|常见训练步骤包含清零、前向、求损失、反向和更新。
## NLP 与 Transformer
Token|分词器将文本编码时使用的基本离散单元|同一句话被分词器拆成若干子词、字符或其他单位|一个词可能对应多个 Token|每个中文词和英文词都固定对应一个 Token|一个较长英文词可能被拆成几个子词 Token。
词表|分词器可识别的 Token 与编号等组成的集合|查表把某个 Token 对应到它的整数 ID|不同分词器的词表和编号可能不同|任何模型中相同 Token 的编号都必须相同|编号 100 在两个不同词表中可能代表不同内容。
Embedding|把离散对象映射为稠密向量表示的方法或结果|把 Token ID 查表转换为一串可参与神经网络计算的小数|向量维度是表示空间的大小，不是字符数量|Embedding 向量的长度必须等于原词的字母数|一个 Token 可被映射为 768 维向量。
位置编码|向模型提供序列位置信息的表示机制|模型需要区分相同词语以不同顺序出现的句子|位置编码可以采用不同设计，并非只有一种固定公式|只要知道句子有哪些词，就永远不需要顺序信息|“狗追人”和“人追狗”包含相同词却含义不同。
注意力|根据相关程度对若干信息进行加权汇聚的机制|处理代词时，对更相关的上下文词分配更高权重|注意力权重是模型计算结果，不自动等于可靠因果解释|注意力权重高就证明该词是现实世界中的因果原因|理解“它”时，模型可能更多参考前文的主体词。
自注意力|查询和被关注的信息来自同一序列的注意力|句子中的每个位置参考这句话里的其他位置形成表示|自注意力的可见范围可以受到掩码限制|自注意力一定允许每个位置看到所有未来位置|因果自注意力只能使用允许的当前位置及之前信息。
交叉注意力|查询与键值信息来自不同序列或信息来源的注意力|翻译解码器用当前状态关注编码后的源语言句子|交叉注意力不要求查询与被关注序列长度相同|交叉注意力只允许发生在完全相同的序列内部|生成中文译文时，可关注长度不同的英文输入。
因果掩码|阻止当前位置读取未来位置信息的限制|训练下一 Token 预测时，不让模型提前看到后面的答案|因果掩码有助于使训练的信息条件符合自回归生成|因果掩码的作用是把所有历史 Token 都遮住|预测第 4 个位置时，不应借用第 5 个位置的内容。
编码器|将输入序列转换为上下文表示的网络部分|先把整段源文本转换为一组表征供后续模块使用|编码器不一定直接输出最终自然语言回答|编码器的定义就是逐字打印最终答案|机器翻译中，编码器可以先表示源语言句子。
解码器|依据上下文和已有输出等生成目标序列的网络部分|在自回归文本生成中，根据已有内容继续预测后续 Token|解码器可出现在编码器解码器结构或仅解码器结构中|只要有解码器，就必须另有一个独立编码器|仅解码器模型也能完成文本续写。
## 大模型训练与推理
预训练|在较广泛数据上学习通用表示或预测能力的训练阶段|先用大规模文本学习语言规律，再处理具体任务|预训练并不保证模型知道所有最新事实|做过预训练的模型就不会有知识遗漏|先学习广泛语言模式，再针对客服任务继续训练。
微调|在已有模型基础上用特定数据继续调整参数的过程|用带答案的行业问答样本继续训练已有模型|微调涉及参数调整，单纯输入提示通常不算微调|每次在聊天框里写提示都在完成模型微调|用一批标注客服对话继续训练与临时提问是不同操作。
提示词|在一次调用中提供给模型的任务说明与上下文文本|调用模型时写明需要总结的内容和输出格式|提示词可以改变本次输出，但通常不直接改变权重|写入提示的所有事实都会永久写入模型参数|要求“用三点总结”是在约束当前回答形式。
推理|使用已有模型参数根据输入计算输出的阶段|部署后把用户问题送给模型得到回答|此处的推理指模型执行，不只指逻辑证明|只要生成了答案就必定发生了一次参数训练|运行已训练分类器判断一张新图，也属于模型推理。
上下文窗口|模型一次处理时允许使用的 Token 范围或容量|输入材料和对话过长，超出一次请求能容纳的范围|窗口容量有限，历史内容未必全部进入当前请求|上下文窗口越大就保证能准确理解其中所有细节|输入占用空间后，还需要按服务规则为输出预留预算。
温度|对采样前分数进行缩放以调节分布集中程度的参数|希望随机采样更集中或更多样，调整分数缩放参数|较高温度通常更分散，但不保证更准确|提高温度必然提高事实准确率|在采样生成中，降低温度通常更偏向高概率候选。
Top-p 采样|从累积概率达到阈值的候选集合中进行采样的方法|按概率排序候选，取覆盖指定概率质量的一组再抽样|候选数量会随当前概率分布变化|Top-p 的 p 就是固定保留多少个 Token|同样 p=0.9，不同步骤可能保留不同数量的候选。
量化|用较低精度等数值表示近似权重或其他张量的技术|把部分浮点权重转换为低比特表示来节省资源|量化可能带来精度与资源消耗之间的权衡|量化必定完全无损，而且在所有硬件上都更快|将权重从较高精度变为 8 比特表示，可能降低存储量。
KV Cache|自回归生成中缓存已有位置键和值以复用计算的机制|生成下一 Token 时复用前面位置的注意力键值结果|缓存会占用内存，长度增加通常会增加开销|KV Cache 是不占空间的永久知识库|生成长文本时，历史位置的键和值不必每步全部重算。
偏好对齐|利用偏好或反馈等让模型行为更符合期望的训练过程|给同一问题的多个回答标注偏好，用于改进模型行为|偏好对齐不能保证所有回答正确或安全|经过偏好对齐后就不再需要任何评估|训练时更偏好有依据、符合要求的回答，但上线仍需检查。
## RAG 基础流程
文档解析|从原始文件提取可处理文本与结构的步骤|把 PDF 中的段落和表格内容提取出来供检索使用|解析质量会影响后续分块和检索|解析只要成功打开文件就保证提取内容完全正确|扫描版 PDF 可能需要 OCR 才能得到文字。
分块|把较长文档拆成便于检索和使用的片段的步骤|将长手册拆成较小、尽量语义完整的段落片段|块大小需要在上下文完整性与检索粒度间权衡|片段越小，检索与回答效果就一定越好|把一句定义拆成两个不完整碎片可能丢失含义。
检索嵌入|把查询或文档转换为适合语义比较的向量表示|将问题和片段分别变成向量以比较语义接近程度|查询与文档向量需要位于兼容的表示空间|任意两个不同模型生成的等长向量都可直接可靠比较|换嵌入模型后，通常需要重新生成文档向量。
索引|为提高查找效率而组织数据的结构或机制|预先组织片段向量或关键词，以便快速找到候选内容|索引帮助查找，不等于自动保证答案真实|建立索引后就无需考虑原文是否正确或过期|书后的关键词索引可以帮助定位页码，但不负责写答案。
检索|根据查询从资料库找出相关候选内容的步骤|用户提出问题后，系统先找出几段相关资料|检索可能漏掉重要内容，也可能返回不相关结果|检索排第一的内容必定是唯一正确答案|询问退货期限时，先找退货规则相关段落。
混合检索|结合关键词匹配与向量等多种检索方式的方法|既希望精确匹配产品编号，也希望覆盖语义相近说法|不同检索结果的分数往往需要合理融合|混合检索只是把同一个结果重复复制两遍|产品编号可用关键词命中，口语表达可用语义匹配补充。
重排|对初步检索得到的候选重新评估并排序的步骤|先召回几十段资料，再用更细的相关性判断挑选前几段|重排通常只能调整已有候选，不能保证补回漏检资料|初次完全没检到的资料一定会被重排自动找回|先取 50 个候选，再重排选择其中 5 个。
上下文组装|把选中的证据与问题等整理成模型输入的步骤|将检索片段、出处和用户问题组合后交给生成模型|组装时应考虑长度、重复信息和来源边界|检索出来的所有文字都必须无条件当作系统指令执行|将资料放在明确的引用区域，避免把其中指令当成任务要求。
基于证据生成|利用提供的检索证据组织回答的步骤|模型阅读相关手册片段后给出带依据的答复|证据不足时应说明不足，而不是编造引用|只要使用了 RAG，就不可能出现幻觉|资料没说明退款天数时，应说明无法从现有证据确定。
来源引用|标出回答所依据资料位置或出处的做法|回答后列出对应文档名、段落或链接便于核对|有引用不代表引用一定支持相应结论，需要核对|只要附上任意一个链接，回答就自动可信|声称“七天可退”时，应能定位支持该规则的具体文字。
## Agent 基础流程
工具|由程序提供给模型调用的外部功能|模型通过一个受控函数查询天气或执行计算|工具可有输入约束和权限边界|工具名字写在提示里就意味着它一定真实存在并可调用|应用暴露 get_weather 函数后，模型才可请求调用它。
工具调用|模型请求执行某个工具并提供参数的行为|模型输出查询函数名和城市参数，等待程序执行|提出调用请求与工具已成功执行是两回事|模型说“调用成功”就证明外部程序已经成功执行|函数请求中写 city=北京，还需程序实际查询并返回结果。
规划|把目标分解成步骤并安排执行顺序的过程|先找资料、再核对、最后汇总，而不是直接输出结论|计划需要根据执行结果调整|一旦生成计划，无论反馈如何都不应更改|发现资料不足时，可以先补充检索再继续总结。
工作流|按事先设计的规则连接多个处理步骤的流程|系统固定先分类问题，再检索，再生成回答|固定工作流也可以在某些步骤调用模型|流程里用了模型就一定意味着每一步都由 Agent 自由决策|预设分支与调用顺序可以组成含模型的工作流。
Agent 状态|执行过程中保存的任务上下文与进展信息|记录已经完成的步骤、当前输入和工具返回值|状态用于保持任务连续性，不等同于模型权重|更新任务状态就一定是在重新训练模型|保存“资料已检索、待核对”是一种状态更新。
短期记忆|在当前任务或会话范围内保留的近期信息|多轮任务中记住本次用户要求和刚才工具结果|短期记忆受上下文与存储策略限制|短期记忆意味着能永久保留所有历史对话|本次订票流程记住出发地，不代表下次会话一定保留。
长期记忆|跨任务或会话保存并按需调用的信息机制|把用户主动保存的偏好存入数据库，下次任务再读取|长期记忆通常需要外部存储及检索机制|长期记忆只能靠无限扩大当前提示词实现|将用户偏好的语言保存在数据库，可在下次读取。
执行反馈|工具或环境在操作后返回的结果与状态|文件查询工具返回“未找到”，系统据此调整下一步|失败反馈也应参与后续决策|只有成功结果才值得告诉 Agent，错误可以一律忽略|查询失败后可检查路径，而不是假装已经拿到文件。
停止条件|决定任务何时结束或中止的规则|达到目标、超出步数预算或连续失败时停止循环|设置预算与停止条件有助于避免无休止调用|Agent 只有永远继续执行才算自主|最多检索三次仍无证据时，可停止并说明不足。
人工确认|在指定动作前由人审核并决定是否继续的机制|系统准备发送重要邮件，先展示收件人与内容供用户确认|确认应针对具体动作和内容|用户同意一个动作就代表同意所有未来动作|批准查询资料不等于批准向外发送整份资料。
## 评估与应用基础
混淆矩阵|按真实类别与预测类别统计数量的表|统计二分类中真正例、假正例、真负例和假负例|阅读矩阵前要确认行列含义|所有工具的混淆矩阵行列约定都完全相同|先确认行是真实类别还是预测类别，再解释数值。
准确率|全部预测中预测正确的比例|100 个样本中 90 个分类正确，统计整体正确比例|类别极不平衡时仅看准确率可能产生误导|准确率高就保证少数类也识别得很好|99 个负例、1 个正例，全猜负例也有 99% 准确率。
精确率|被预测为正例的样本中真正正例的比例|报警 20 次，其中 15 次确有问题，关注报警有多可信|精确率关注预测为正的集合|精确率的分母永远是所有真实正例|20 次报警中 15 次正确，精确率为 75%。
召回率|全部真实正例中被成功识别为正的比例|实际有 20 个问题，系统发现了 15 个，关注漏掉多少|召回率关注真实正例的覆盖程度|召回率高就一定意味着报警中没有误报|20 个真实问题发现 15 个，召回率为 75%。
F1 分数|精确率与召回率的调和平均|希望用一个指标兼顾精确率与召回率的表现|F1 不是精确率与召回率的简单算术平均|将精确率与召回率相加除以二就是 F1|精确率 1、召回率 0.5 时，F1 约为 0.667。
分类阈值|把连续分数或概率转换为类别决策的界限|将预测分数达到 0.7 的样本判为正类|固定分数下调低阈值通常会预测出更多正例|调低阈值必定同时提高精确率和召回率|阈值从 0.7 降到 0.5，分数为 0.6 的样本会改判正类。
交叉验证|多次轮换训练与验证子集来评估的方法|把数据分成五份，轮流留一份验证，其余训练|预处理应在各训练折内拟合，避免泄漏|先用全部数据选完特征再交叉验证绝不会泄漏|五折评估中，每轮只用当轮训练折计算标准化参数。
延迟|一次请求从指定起点到指定终点所用的时间|用户发出请求后等待多久才收到完整结果|首个输出的延迟与完整响应延迟不是同一指标|首 Token 很快就保证完整长回答也一定很快|首 Token 0.5 秒、整段回答 8 秒，是两个不同测量值。
吞吐量|单位时间内系统完成的处理量|统计服务一秒内完成多少请求或生成多少 Token|吞吐量和单次延迟可能存在权衡|吞吐量高就证明每位用户等待时间都更短|批量处理可能提高每秒处理量，也可能增加排队时间。
上线监控|部署后持续观察质量、性能和异常的过程|模型发布后持续检查错误率、响应时间和数据变化|离线评估合格后仍需要监控与必要的回退方案|模型上线一次验收通过后就永远不需要再评估|输入分布变化或服务错误增加时，应触发检查而非忽略。
